feature,mean,scale
completion_time,247.02002904879603,3275.407073040679
click_count,4.37672475531153,11.165905188918053
scroll_count,43.32344234900931,17.006005342343805
keyboard_count,5.5552399140606346,12.741185406324641
retry_count,0.6531391740272141,2.594925507792287
error_count,0.10551444258772977,0.847244648258365
failed_clicks,0.0826927667701122,0.8189325778732536
feedback_delay,76.45234919090649,458.51902137075115
task_completed,-0.8661255669610886,0.4458565557020998
screenshot_count,0.09293387443303891,0.5030631505731681
error_message_clarity,-0.9343996180472667,0.3791451148995036
